trialNo,target,condition1,condition2,mRating_likely,mRating_moral,mRating_rational,poss_resp_sp,poss_RT_sp,poss_resp_rf,poss_RT_rf,could_resp_sp,could_RT_sp,could_resp_rf,could_RT_rf,may_resp_sp,may_RT_sp,may_resp_rf,may_RT_rf,might_resp_sp,might_RT_sp,might_resp_rf,might_RT_rf,ought_resp_sp,ought_RT_sp,ought_resp_rf,ought_RT_rf,should_resp_sp,should_RT_sp,should_resp_rf,should_RT_rf
1,sells some of his stocks or bonds,possible,1,2.217391304347826,1.2222222222222223,1.75,0.8490566037735849,1094.7971698113208,0.9411764705882353,2216.6666666666665,0.8359375,1107.1171875,0.9863013698630136,2372.123287671233,0.7530864197530864,1134.2716049382716,0.918918918918919,2364.7567567567567,0.7804878048780488,1057.878048780488,0.8846153846153846,2119.3076923076924,0.7121212121212122,1092.5378787878788,0.864406779661017,2259.728813559322,0.7751937984496124,1120.0,0.9193548387096774,2128.4193548387098
2,use a generic medication instead,possible,1,2.391304347826087,1.2222222222222223,1.7,0.8878504672897196,1095.5841121495328,0.8938053097345132,2490.407079646018,0.8828125,1083.078125,0.8695652173913043,2333.8115942028985,0.7926829268292683,1056.9024390243903,1.0,2379.3333333333335,0.8941176470588236,1033.2117647058824,0.8181818181818182,2318.5454545454545,0.781021897810219,1086.4379562043796,0.859375,2204.796875,0.7716535433070866,1121.8267716535433,0.8727272727272727,2584.2
3,buy a different insurance plan,possible,1,2.739130434782609,1.4444444444444444,2.35,0.9090909090909091,1036.4818181818182,0.8181818181818182,2257.686868686869,0.8666666666666667,1052.8814814814814,0.8923076923076924,2479.6153846153848,0.8048780487804879,1034.6707317073171,0.775,2918.575,0.8902439024390244,1048.280487804878,0.7777777777777778,2297.688888888889,0.8449612403100775,1061.8062015503876,0.746031746031746,2381.809523809524,0.8449612403100775,1045.2558139534883,0.7142857142857143,2381.3809523809523
4,enroll in federal healthcare,possible,1,2.5217391304347827,1.3888888888888888,1.7,0.8981481481481481,1089.5694444444443,0.865979381443299,2314.082474226804,0.8880597014925373,1066.858208955224,0.927536231884058,2595.5797101449275,0.7529411764705882,1054.1882352941177,0.918918918918919,2372.945945945946,0.8705882352941177,1061.7764705882353,0.8571428571428571,2274.8333333333335,0.8571428571428571,1080.5714285714287,0.8545454545454545,2295.3636363636365,0.7751937984496124,1078.6899224806202,0.873015873015873,2349.5396825396824
5,borrow the money from a bank,possible,1,2.260869565217391,1.3888888888888888,1.5,0.9596412556053812,940.322869955157,0.873015873015873,2220.031746031746,0.9333333333333333,1111.1037037037038,0.95,2118.925,0.9195402298850575,1018.2528735632184,1.0,2551.3333333333335,0.9529411764705882,928.9294117647058,0.84,2148.28,0.8714285714285714,1009.75,0.717948717948718,2452.974358974359,0.937984496124031,992.6356589147287,0.85,2413.375
6,be given the money by a friend,possible,1,2.347826086956522,1.3333333333333333,1.9,0.9414634146341463,1034.3853658536586,0.9634146341463414,2169.378048780488,0.8947368421052632,1052.4586466165413,0.9841269841269841,2090.126984126984,0.9069767441860465,1059.5697674418604,1.0,2387.9666666666667,0.9186046511627907,1027.5232558139535,0.9,2375.25,0.8074074074074075,1089.4222222222222,0.8461538461538461,2495.2153846153847,0.859375,1088.078125,0.9,2489.2
7,loan the money from his family,possible,1,1.826086956521739,1.4444444444444444,1.85,0.9408866995073891,1085.6206896551723,0.8767123287671232,2660.027397260274,0.9098360655737705,1081.4754098360656,0.8736842105263158,2909.9684210526316,0.8421052631578947,1100.0394736842106,0.8727272727272727,2906.0545454545454,0.8780487804878049,1141.2317073170732,0.8620689655172413,2964.689655172414,0.8015873015873016,1121.5,0.7954545454545454,2606.465909090909,0.8305084745762712,1122.8305084745762,0.875,2741.9895833333335
8,sell an extra car for the money,possible,1,2.608695652173913,1.2222222222222223,2.45,0.8883720930232558,1069.4976744186047,0.9316239316239316,2348.837606837607,0.8923076923076924,1169.0076923076922,0.9473684210526315,2395.2236842105262,0.7283950617283951,1051.9012345679012,0.8571428571428571,2577.214285714286,0.8395061728395061,1040.9753086419753,0.8604651162790697,2262.4883720930234,0.6666666666666666,1097.2826086956522,0.8591549295774648,2360.830985915493,0.8,1068.824,0.9230769230769231,2182.7846153846153
9,be given the money by a turtle,impossible,1,5.043478260869565,4.944444444444445,5.0,0.12264150943396226,1077.4103773584907,0.05263157894736842,2205.463157894737,0.096,1074.608,0.030303030303030304,2184.939393939394,0.16279069767441862,1073.953488372093,0.030303030303030304,2444.151515151515,0.15584415584415584,1083.1948051948052,0.06521739130434782,2167.521739130435,0.10526315789473684,1091.7368421052631,0.10204081632653061,2244.204081632653,0.12,1088.848,0.0,2902.0
10,make the money time traveling,impossible,1,5.043478260869565,4.722222222222222,5.05,0.25,1094.2740384615386,0.0390625,2145.6875,0.2713178294573643,1134.8992248062016,0.028169014084507043,2199.225352112676,0.18072289156626506,1099.0963855421687,0.023809523809523808,2511.9761904761904,0.14285714285714285,1095.6493506493507,0.07142857142857142,2292.5476190476193,0.2608695652173913,1126.1014492753623,0.13793103448275862,2503.637931034483,0.1935483870967742,1103.717741935484,0.017543859649122806,2031.859649122807
11,grow the money on a tree,impossible,1,5.086956521739131,4.777777777777778,4.9,0.07657657657657657,969.472972972973,0.10256410256410256,2041.5128205128206,0.07971014492753623,971.4565217391304,0.034482758620689655,2303.4137931034484,0.10588235294117647,939.2588235294118,0.0,2177.0,0.09411764705882353,943.9764705882353,0.0,2338.625,0.1079136690647482,968.6474820143885,0.125,2296.0625,0.07936507936507936,941.9047619047619,0.045454545454545456,2218.4545454545455
12,get the money by clapping,impossible,1,5.043478260869565,3.3333333333333335,4.85,0.11059907834101383,1070.6866359447004,0.09090909090909091,2161.443181818182,0.12878787878787878,1060.1742424242425,0.05660377358490566,2002.622641509434,0.12195121951219512,1043.7073170731708,0.0,2055.5,0.07058823529411765,1061.3764705882354,0.0,2182.176470588235,0.11851851851851852,1062.088888888889,0.17777777777777778,2132.688888888889,0.06201550387596899,1039.8372093023256,0.0,1952.5263157894738
13,steal the money from his work,immoral,1,4.478260869565218,4.722222222222222,4.0,0.7727272727272727,1050.621212121212,0.72,2207.88,0.6097560975609756,1030.5121951219512,0.5454545454545454,2067.5,0.631578947368421,1064.0526315789473,0.3333333333333333,4408.0,0.5416666666666666,979.25,0.4166666666666667,2257.3333333333335,0.23529411764705882,976.843137254902,0.1,2017.5,0.10526315789473684,998.2894736842105,0.0,1854.0
14,blackmail someone for the money,immoral,1,4.521739130434782,4.611111111111111,4.3,0.5652173913043478,1029.3188405797102,0.76,2141.12,0.47619047619047616,1004.952380952381,0.64,2009.52,0.47058823529411764,1130.764705882353,0.42857142857142855,2303.285714285714,0.4166666666666667,1044.5833333333333,0.375,3108.0,0.16981132075471697,972.7547169811321,0.0,3195.0,0.1111111111111111,990.8333333333334,0.0,1908.1
15,commit credit card fraud,immoral,1,4.3478260869565215,4.777777777777778,3.95,0.6212121212121212,1040.0,0.7714285714285715,2347.3142857142857,0.625,1000.575,0.5769230769230769,2460.653846153846,0.5555555555555556,1038.611111111111,0.4166666666666667,2125.0833333333335,0.4583333333333333,1053.9166666666667,0.46153846153846156,2639.4615384615386,0.19607843137254902,944.6078431372549,0.3333333333333333,1925.5,0.10810810810810811,969.7567567567568,0.09090909090909091,1944.909090909091
16,get the medicine by stealing,immoral,1,4.130434782608695,4.611111111111111,3.65,0.696969696969697,1096.2727272727273,0.8378378378378378,2209.054054054054,0.6585365853658537,1092.1951219512196,0.52,2121.88,0.6111111111111112,1129.2222222222222,0.5,2213.5833333333335,0.5,1030.590909090909,0.3333333333333333,2188.733333333333,0.3137254901960784,1059.8823529411766,0.25,2262.85,0.22857142857142856,1108.6571428571428,0.16666666666666666,1857.6666666666667
17,be  given the medicine by  a doctor,improbable,1,3.652173913043478,1.2222222222222223,2.55,0.9090909090909091,1056.3636363636363,0.7435897435897436,2478.4615384615386,0.8653846153846154,1108.076923076923,0.9166666666666666,2775.0833333333335,0.9310344827586207,1085.4137931034484,0.8,2067.9333333333334,0.7741935483870968,1095.6774193548388,0.8181818181818182,2482.409090909091,0.8333333333333334,1113.2142857142858,0.7142857142857143,2368.1428571428573,0.7555555555555555,1048.7333333333333,0.75,2457.9
18,inherit money from a close relative,improbable,1,3.869565217391304,1.4444444444444444,2.7,0.8860759493670886,1064.0759493670887,0.8275862068965517,2124.103448275862,0.7547169811320755,1095.2641509433963,0.9375,2131.5625,0.8333333333333334,1092.7,0.7333333333333333,2298.0,0.6875,1069.625,0.5294117647058824,2298.0,0.5434782608695652,1082.3260869565217,0.5263157894736842,2745.5263157894738,0.6590909090909091,1077.9545454545455,0.65,2743.75
19,receive the money from a stranger,improbable,1,4.130434782608695,1.3888888888888888,3.25,0.8148148148148148,1084.888888888889,0.6904761904761905,2412.690476190476,0.8,1084.74,0.7692307692307693,2049.4615384615386,0.48484848484848486,1117.878787878788,0.4166666666666667,2236.1666666666665,0.59375,1043.15625,0.375,2189.375,0.4318181818181818,1122.340909090909,0.47368421052631576,2391.684210526316,0.4782608695652174,1122.3260869565217,0.45,3904.05
20,discover a cheap new medicine,improbable,1,4.043478260869565,1.4444444444444444,3.25,0.6578947368421053,1126.8815789473683,0.6756756756756757,2401.7837837837837,0.6739130434782609,1126.0869565217392,0.625,2876.28125,0.625,1182.5625,0.5384615384615384,2348.3846153846152,0.6333333333333333,1044.6,0.5333333333333333,2975.9333333333334,0.5531914893617021,1129.9148936170213,0.3333333333333333,2641.185185185185,0.5681818181818182,1159.090909090909,0.5294117647058824,2696.0
21,sell his own medication,irrational,1,4.260869565217392,2.388888888888889,3.9,0.8108108108108109,1041.7432432432433,0.5238095238095238,2364.309523809524,0.7142857142857143,1073.7380952380952,0.375,3354.625,0.4117647058823529,1092.9705882352941,0.35714285714285715,2085.1428571428573,0.6785714285714286,1093.8214285714287,0.36363636363636365,2222.090909090909,0.15555555555555556,1167.6444444444444,0.14285714285714285,1930.4285714285713,0.2727272727272727,1047.0227272727273,0.11538461538461539,2157.4615384615386
22,sell all his clothes for money,irrational,1,3.6956521739130435,1.3888888888888888,3.85,0.8611111111111112,1049.3194444444443,0.7666666666666667,2371.633333333333,0.925,1088.3,0.6190476190476191,2538.0476190476193,0.5,1047.735294117647,0.6923076923076923,2607.6923076923076,0.7586206896551724,1054.6896551724137,0.5833333333333334,2038.0,0.5,1088.4545454545455,0.4117647058823529,2606.294117647059,0.4782608695652174,1083.9347826086957,0.24242424242424243,2355.7272727272725
23,go on strike until wages increase,irrational,1,4.434782608695652,2.8333333333333335,4.15,0.4918032786885246,1346.967213114754,0.5263157894736842,2877.964912280702,0.42105263157894735,1233.4473684210527,0.6206896551724138,2724.0,0.3103448275862069,1101.344827586207,0.4,2510.7,0.25,1168.4285714285713,0.07142857142857142,2067.3571428571427,0.125,1154.85,0.3,3165.1,0.18604651162790697,1116.9302325581396,0.10714285714285714,2275.5
24,try random other medicines,irrational,1,3.9130434782608696,3.1666666666666665,4.45,0.6818181818181818,1175.0757575757575,0.6071428571428571,2180.9821428571427,0.6388888888888888,1198.9444444444443,0.36666666666666664,2656.2,0.48484848484848486,1113.5757575757575,0.6,2278.15,0.6666666666666666,1127.6333333333334,0.2777777777777778,1914.0555555555557,0.20512820512820512,1132.2820512820513,0.3333333333333333,2280.809523809524,0.42857142857142855,1496.2448979591836,0.13793103448275862,2286.9655172413795
