condition2,trialNo,target,condition1,mRating_irrational,mRating_improbable,mRating_immoral,mRating_abnormal,mRating_goodness,poss_resp_sp,poss_RT_sp,poss_resp_rf,poss_RT_rf,could_resp_sp,could_RT_sp,could_resp_rf,could_RT_rf,may_resp_sp,may_RT_sp,may_resp_rf,may_RT_rf,might_resp_sp,might_RT_sp,might_resp_rf,might_RT_rf,ought_resp_sp,ought_RT_sp,ought_resp_rf,ought_RT_rf,should_resp_sp,should_RT_sp,should_resp_rf,should_RT_rf
1,1,sells some of his stocks or bonds,possible,4.25,2.217391304,4.777777778,,,0.849056604,1094.79717,0.941176471,2216.666667,0.8359375,1107.117188,0.98630137,2372.123288,0.75308642,1134.271605,0.918918919,2364.756757,0.780487805,1057.878049,0.884615385,2119.307692,0.712121212,1092.537879,0.86440678,2259.728814,0.775193798,1120,0.919354839,2128.419355
1,2,use a generic medication instead,possible,4.3,2.391304348,4.777777778,,,0.887850467,1095.584112,0.89380531,2490.40708,0.8828125,1083.078125,0.869565217,2333.811594,0.792682927,1056.902439,1,2379.333333,0.894117647,1033.211765,0.818181818,2318.545455,0.781021898,1086.437956,0.859375,2204.796875,0.771653543,1121.826772,0.872727273,2584.2
1,3,buy a different insurance plan,possible,3.65,2.739130435,4.555555556,,,0.909090909,1036.481818,0.818181818,2257.686869,0.866666667,1052.881481,0.892307692,2479.615385,0.804878049,1034.670732,0.775,2918.575,0.890243902,1048.280488,0.777777778,2297.688889,0.84496124,1061.806202,0.746031746,2381.809524,0.84496124,1045.255814,0.714285714,2381.380952
1,4,enroll in federal healthcare,possible,4.3,2.52173913,4.611111111,,,0.898148148,1089.569444,0.865979381,2314.082474,0.888059701,1066.858209,0.927536232,2595.57971,0.752941176,1054.188235,0.918918919,2372.945946,0.870588235,1061.776471,0.857142857,2274.833333,0.857142857,1080.571429,0.854545455,2295.363636,0.775193798,1078.689922,0.873015873,2349.539683
1,5,borrow the money from a bank,possible,4.5,2.260869565,4.611111111,,,0.959641256,940.32287,0.873015873,2220.031746,0.933333333,1111.103704,0.95,2118.925,0.91954023,1018.252874,1,2551.333333,0.952941176,928.9294118,0.84,2148.28,0.871428571,1009.75,0.717948718,2452.974359,0.937984496,992.6356589,0.85,2413.375
1,6,be given the money by a friend,possible,4.315789474,2.347826087,4.666666667,,,0.941463415,1034.385366,0.963414634,2169.378049,0.894736842,1052.458647,0.984126984,2090.126984,0.906976744,1059.569767,1,2387.966667,0.918604651,1027.523256,0.9,2375.25,0.807407407,1089.422222,0.846153846,2495.215385,0.859375,1088.078125,0.9,2489.2
1,7,loan the money from his family,possible,4.15,1.826086957,4.555555556,,,0.9408867,1085.62069,0.876712329,2660.027397,0.909836066,1081.47541,0.873684211,2909.968421,0.842105263,1100.039474,0.872727273,2906.054545,0.87804878,1141.231707,0.862068966,2964.689655,0.801587302,1121.5,0.795454545,2606.465909,0.830508475,1122.830508,0.875,2741.989583
1,8,sell an extra car for the money,possible,3.55,2.454545455,4.777777778,,,0.888372093,1069.497674,0.931623932,2348.837607,0.892307692,1169.007692,0.947368421,2395.223684,0.728395062,1051.901235,0.857142857,2577.214286,0.839506173,1040.975309,0.860465116,2262.488372,0.666666667,1097.282609,0.85915493,2360.830986,0.8,1068.824,0.923076923,2182.784615
1,9,be given the money by a turtle,impossible,1.111111111,4.9,4.75,,,0.122641509,1077.410377,0.052631579,2205.463158,0.096,1074.608,0.03030303,2184.939394,0.162790698,1073.953488,0.03030303,2444.151515,0.155844156,1083.194805,0.065217391,2167.521739,0.105263158,1091.736842,0.102040816,2244.204082,0.12,1088.848,0,2902
1,10,make the money time traveling,impossible,1.055555556,4.9,4.6,,,0.25,1094.274038,0.0390625,2145.6875,0.271317829,1134.899225,0.028169014,2199.225352,0.180722892,1099.096386,0.023809524,2511.97619,0.142857143,1095.649351,0.071428571,2292.547619,0.260869565,1126.101449,0.137931034,2503.637931,0.193548387,1103.717742,0.01754386,2031.859649
1,11,grow the money on a tree,impossible,1.157894737,4.894736842,4.4,,,0.076576577,969.472973,0.102564103,2041.512821,0.079710145,971.4565217,0.034482759,2303.413793,0.105882353,939.2588235,0,2177,0.094117647,943.9764706,0,2338.625,0.107913669,968.647482,0.125,2296.0625,0.079365079,941.9047619,0.045454545,2218.454545
1,12,get the money by clapping,impossible,1.15,4.9,4.363636364,,,0.110599078,1070.686636,0.090909091,2161.443182,0.128787879,1060.174242,0.056603774,2002.622642,0.12195122,1043.707317,0,2055.5,0.070588235,1061.376471,0,2182.176471,0.118518519,1062.088889,0.177777778,2132.688889,0.062015504,1039.837209,0,1952.526316
1,13,steal the money from his work,immoral,2,4.47826087,1.277777778,,,0.772727273,1050.621212,0.72,2207.88,0.609756098,1030.512195,0.545454545,2067.5,0.631578947,1064.052632,0.333333333,4408,0.541666667,979.25,0.416666667,2257.333333,0.235294118,976.8431373,0.1,2017.5,0.105263158,998.2894737,0,1854
1,14,blackmail someone for the money,immoral,1.7,4.52173913,1.388888889,,,0.565217391,1029.318841,0.76,2141.12,0.476190476,1004.952381,0.64,2009.52,0.470588235,1130.764706,0.428571429,2303.285714,0.416666667,1044.583333,0.375,3108,0.169811321,972.754717,0,3195,0.111111111,990.8333333,0,1908.1
1,15,commit credit card fraud,immoral,2.05,4.347826087,1.222222222,,,0.621212121,1040,0.771428571,2347.314286,0.625,1000.575,0.576923077,2460.653846,0.555555556,1038.611111,0.416666667,2125.083333,0.458333333,1053.916667,0.461538462,2639.461538,0.196078431,944.6078431,0.333333333,1925.5,0.108108108,969.7567568,0.090909091,1944.909091
1,16,get the medicine by stealing,immoral,2.35,4.130434783,1.388888889,,,0.696969697,1096.272727,0.837837838,2209.054054,0.658536585,1092.195122,0.52,2121.88,0.611111111,1129.222222,0.5,2213.583333,0.5,1030.590909,0.333333333,2188.733333,0.31372549,1059.882353,0.25,2262.85,0.228571429,1108.657143,0.166666667,1857.666667
1,17,be  given the medicine by  a doctor,improbable,3.45,3.652173913,4.777777778,,,0.909090909,1056.363636,0.743589744,2478.461538,0.865384615,1108.076923,0.916666667,2775.083333,0.931034483,1085.413793,0.8,2067.933333,0.774193548,1095.677419,0.818181818,2482.409091,0.833333333,1113.214286,0.714285714,2368.142857,0.755555556,1048.733333,0.75,2457.9
1,18,inherit money from a close relative,improbable,3.473684211,3.869565217,4.823529412,,,0.886075949,1064.075949,0.827586207,2124.103448,0.754716981,1095.264151,0.9375,2131.5625,0.833333333,1092.7,0.733333333,2298,0.6875,1069.625,0.529411765,2298,0.543478261,1082.326087,0.526315789,2745.526316,0.659090909,1077.954545,0.65,2743.75
1,19,receive the money from a stranger,improbable,2.894736842,4.130434783,4.611111111,,,0.814814815,1084.888889,0.69047619,2412.690476,0.8,1084.74,0.769230769,2049.461538,0.484848485,1117.878788,0.416666667,2236.166667,0.59375,1043.15625,0.375,2189.375,0.431818182,1122.340909,0.473684211,2391.684211,0.47826087,1122.326087,0.45,3904.05
